+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)    | AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
| 4584  | 0   | 4584 | 0   | 0   | 0   | GET    | /image/[0-9]+      | 0.001 | 0.368 | 398.279 | 0.087 | 0.148 | 0.179 | 0.234 | 0.052  | 36665.000 | 1086666.000 | 1388396258.000 | 302878.765 |
| 641   | 0   | 641  | 0   | 0   | 0   | GET    | /                  | 0.057 | 0.380 | 87.238  | 0.136 | 0.199 | 0.233 | 0.311 | 0.050  | 2589.000  | 5855.000    | 2044808.000    | 3190.028   |
| 591   | 0   | 591  | 0   | 0   | 0   | GET    | /posts/[0-9]+      | 0.002 | 0.386 | 51.636  | 0.087 | 0.144 | 0.174 | 0.206 | 0.047  | 452.000   | 1603.000    | 579684.000     | 980.853    |
| 475   | 0   | 0    | 475 | 0   | 0   | POST   | /login             | 0.001 | 0.312 | 44.453  | 0.094 | 0.150 | 0.169 | 0.266 | 0.045  | 189.000   | 199.000     | 90315.000      | 190.137    |
| 152   | 0   | 0    | 76  | 76  | 0   | POST   | /                  | 0.005 | 0.265 | 14.746  | 0.097 | 0.151 | 0.188 | 0.225 | 0.047  | 190.000   | 211.000     | 30476.000      | 200.500    |
| 157   | 0   | 157  | 0   | 0   | 0   | GET    | /@.*               | 0.019 | 0.267 | 13.663  | 0.087 | 0.154 | 0.179 | 0.259 | 0.048  | 1871.000  | 5316.000    | 513872.000     | 3273.070   |
| 121   | 0   | 0    | 121 | 0   | 0   | POST   | /comment           | 0.005 | 0.306 | 13.651  | 0.113 | 0.160 | 0.178 | 0.267 | 0.041  | 209.000   | 211.000     | 25307.000      | 209.149    |
| 60    | 0   | 60   | 0   | 0   | 0   | GET    | /posts             | 0.062 | 0.378 | 9.364   | 0.156 | 0.249 | 0.254 | 0.378 | 0.077  | 4866.000  | 5556.000    | 308588.000     | 5143.133   |
| 121   | 0   | 0    | 121 | 0   | 0   | POST   | /register          | 0.012 | 0.169 | 9.060   | 0.075 | 0.112 | 0.143 | 0.162 | 0.035  | 189.000   | 189.000     | 22869.000      | 189.000    |
| 121   | 0   | 0    | 0   | 121 | 0   | GET    | /admin/banned      | 0.002 | 0.211 | 7.738   | 0.064 | 0.127 | 0.135 | 0.198 | 0.039  | 185.000   | 185.000     | 22385.000      | 185.000    |
| 54    | 0   | 54   | 0   | 0   | 0   | GET    | /login             | 0.001 | 0.282 | 5.130   | 0.095 | 0.146 | 0.226 | 0.282 | 0.058  | 608.000   | 608.000     | 32832.000      | 608.000    |
| 27    | 0   | 0    | 27  | 0   | 0   | GET    | /logout            | 0.001 | 0.177 | 2.290   | 0.085 | 0.143 | 0.148 | 0.177 | 0.044  | 189.000   | 189.000     | 5103.000       | 189.000    |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /initialize        | 0.218 | 0.218 | 0.218   | 0.218 | 0.218 | 0.218 | 0.218 | 0.000  | 0.000     | 0.000       | 0.000          | 0.000      |
| 556   | 0   | 1    | 555 | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000       | 3.444      |
| 556   | 0   | 1    | 555 | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000       | 3.281      |
| 556   | 0   | 1    | 555 | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000       | 2.786      |
| 556   | 0   | 1    | 555 | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000         | 0.077      |
+-------+-----+------+-----+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+----------------+------------+
