+-------+-----+-----+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+--------------+-----------+
| COUNT | 1XX | 2XX |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+-----+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+--------------+-----------+
| 641   | 0   | 641 | 0     | 0   | 0   | GET    | /                  | 0.056 | 0.592 | 224.873 | 0.351 | 0.438 | 0.455 | 0.527 | 0.071  | 2649.000  | 5845.000    | 2469922.000  | 3853.232  |
| 320   | 0   | 320 | 0     | 0   | 0   | GET    | /posts             | 0.241 | 0.530 | 108.570 | 0.339 | 0.415 | 0.443 | 0.482 | 0.059  | 4853.000  | 5630.000    | 1671771.000  | 5224.284  |
| 269   | 0   | 0   | 269   | 0   | 0   | POST   | /login             | 0.002 | 0.501 | 83.606  | 0.311 | 0.397 | 0.417 | 0.462 | 0.083  | 189.000   | 199.000     | 51781.000    | 192.494   |
| 248   | 0   | 248 | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.002 | 0.552 | 78.365  | 0.316 | 0.419 | 0.433 | 0.486 | 0.092  | 455.000   | 1534.000    | 247180.000   | 996.694   |
| 16316 | 0   | 582 | 15734 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.574 | 56.185  | 0.003 | 0.000 | 0.000 | 0.204 | 0.035  | 62753.000 | 1056749.000 | 79462730.000 | 4870.234  |
| 94    | 0   | 94  | 0     | 0   | 0   | GET    | /login             | 0.011 | 0.430 | 27.828  | 0.296 | 0.369 | 0.406 | 0.430 | 0.084  | 608.000   | 608.000     | 57152.000    | 608.000   |
| 54    | 0   | 0   | 27    | 27  | 0   | POST   | /                  | 0.005 | 0.522 | 17.202  | 0.319 | 0.422 | 0.450 | 0.522 | 0.096  | 190.000   | 211.000     | 10827.000    | 200.500   |
| 55    | 0   | 55  | 0     | 0   | 0   | GET    | /@.*               | 0.014 | 0.450 | 16.988  | 0.309 | 0.377 | 0.389 | 0.450 | 0.063  | 2052.000  | 4753.000    | 181900.000   | 3307.273  |
| 47    | 0   | 0   | 47    | 0   | 0   | GET    | /logout            | 0.002 | 0.430 | 15.335  | 0.326 | 0.397 | 0.402 | 0.430 | 0.069  | 189.000   | 189.000     | 8883.000     | 189.000   |
| 37    | 0   | 0   | 37    | 0   | 0   | POST   | /comment           | 0.009 | 0.472 | 12.492  | 0.338 | 0.449 | 0.464 | 0.472 | 0.087  | 209.000   | 209.000     | 7733.000     | 209.000   |
| 37    | 0   | 0   | 37    | 0   | 0   | POST   | /register          | 0.016 | 0.425 | 10.797  | 0.292 | 0.374 | 0.401 | 0.425 | 0.073  | 189.000   | 189.000     | 6993.000     | 189.000   |
| 37    | 0   | 0   | 0     | 37  | 0   | GET    | /admin/banned      | 0.001 | 0.402 | 10.641  | 0.288 | 0.370 | 0.389 | 0.402 | 0.073  | 185.000   | 185.000     | 6845.000     | 185.000   |
| 1     | 0   | 1   | 0     | 0   | 0   | GET    | /initialize        | 2.025 | 2.025 | 2.025   | 2.025 | 2.025 | 2.025 | 2.025 | 0.000  | 0.000     | 0.000       | 0.000        | 0.000     |
| 678   | 0   | 1   | 677   | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000       | 0.063     |
| 678   | 0   | 1   | 677   | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000     | 2.824     |
| 678   | 0   | 1   | 677   | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000     | 2.690     |
| 678   | 0   | 1   | 677   | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000     | 2.285     |
+-------+-----+-----+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+--------------+-----------+
