+-------+-----+-----+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+-----+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 831   | 0   | 831 | 0     | 0   | 0   | GET    | /                  | 0.043 | 0.417 | 220.208 | 0.265 | 0.315 | 0.328 | 0.372 | 0.043  | 2581.000  | 5853.000    | 2963947.000   | 3566.723  |
| 420   | 0   | 420 | 0     | 0   | 0   | GET    | /posts             | 0.109 | 0.379 | 108.366 | 0.258 | 0.301 | 0.313 | 0.344 | 0.034  | 4851.000  | 5630.000    | 2191798.000   | 5218.567  |
| 340   | 0   | 0   | 340   | 0   | 0   | POST   | /login             | 0.001 | 0.389 | 83.306  | 0.245 | 0.288 | 0.301 | 0.350 | 0.049  | 189.000   | 199.000     | 65440.000     | 192.471   |
| 325   | 0   | 325 | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.002 | 0.370 | 79.085  | 0.243 | 0.307 | 0.316 | 0.355 | 0.062  | 447.000   | 1571.000    | 320775.000    | 987.000   |
| 21322 | 0   | 693 | 20629 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.374 | 54.712  | 0.003 | 0.000 | 0.000 | 0.000 | 0.026  | 69578.000 | 1086666.000 | 101755078.000 | 4772.305  |
| 118   | 0   | 118 | 0     | 0   | 0   | GET    | /login             | 0.119 | 0.311 | 28.034  | 0.238 | 0.280 | 0.294 | 0.309 | 0.044  | 608.000   | 608.000     | 71744.000     | 608.000   |
| 68    | 0   | 0   | 34    | 34  | 0   | POST   | /                  | 0.006 | 0.423 | 17.150  | 0.252 | 0.304 | 0.314 | 0.423 | 0.057  | 190.000   | 211.000     | 13634.000     | 200.500   |
| 70    | 0   | 70  | 0     | 0   | 0   | GET    | /@.*               | 0.014 | 0.330 | 16.935  | 0.242 | 0.290 | 0.308 | 0.330 | 0.046  | 2090.000  | 5239.000    | 233806.000    | 3340.086  |
| 59    | 0   | 0   | 59    | 0   | 0   | GET    | /logout            | 0.002 | 0.344 | 15.037  | 0.255 | 0.301 | 0.324 | 0.344 | 0.048  | 189.000   | 189.000     | 11151.000     | 189.000   |
| 47    | 0   | 0   | 47    | 0   | 0   | POST   | /comment           | 0.011 | 0.323 | 12.368  | 0.263 | 0.310 | 0.318 | 0.323 | 0.046  | 209.000   | 209.000     | 9823.000      | 209.000   |
| 48    | 0   | 0   | 48    | 0   | 0   | POST   | /register          | 0.015 | 0.311 | 11.245  | 0.234 | 0.283 | 0.295 | 0.311 | 0.054  | 189.000   | 189.000     | 9072.000      | 189.000   |
| 48    | 0   | 0   | 0     | 48  | 0   | GET    | /admin/banned      | 0.001 | 0.320 | 10.773  | 0.224 | 0.280 | 0.283 | 0.320 | 0.055  | 185.000   | 185.000     | 8880.000      | 185.000   |
| 1     | 0   | 1   | 0     | 0   | 0   | GET    | /initialize        | 0.941 | 0.941 | 0.941   | 0.941 | 0.941 | 0.941 | 0.941 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 887   | 0   | 1   | 886   | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.048     |
| 887   | 0   | 1   | 886   | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 2.159     |
| 887   | 0   | 1   | 886   | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 2.056     |
| 887   | 0   | 1   | 886   | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 1.746     |
+-------+-----+-----+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
