+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 1779  | 0   | 1779 | 0     | 0   | 0   | GET    | /                  | 0.019 | 0.219 | 211.697 | 0.119 | 0.147 | 0.163 | 0.190 | 0.023  | 2559.000  | 5845.000    | 5534421.000   | 3110.973  |
| 900   | 0   | 900  | 0     | 0   | 0   | GET    | /posts             | 0.067 | 0.220 | 105.432 | 0.117 | 0.141 | 0.158 | 0.187 | 0.020  | 4858.000  | 5660.000    | 4705541.000   | 5228.379  |
| 724   | 0   | 0    | 724   | 0   | 0   | POST   | /login             | 0.001 | 0.211 | 83.254  | 0.115 | 0.138 | 0.152 | 0.178 | 0.023  | 189.000   | 199.000     | 139356.000    | 192.481   |
| 694   | 0   | 694  | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.002 | 0.211 | 81.538  | 0.117 | 0.142 | 0.164 | 0.185 | 0.022  | 435.000   | 1608.000    | 698299.000    | 1006.195  |
| 45754 | 0   | 1185 | 44569 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.214 | 50.325  | 0.001 | 0.000 | 0.000 | 0.000 | 0.012  | 85214.000 | 1219758.000 | 173906174.000 | 3800.896  |
| 252   | 0   | 252  | 0     | 0   | 0   | GET    | /login             | 0.001 | 0.183 | 28.702  | 0.114 | 0.135 | 0.147 | 0.173 | 0.022  | 608.000   | 608.000     | 153216.000    | 608.000   |
| 156   | 0   | 156  | 0     | 0   | 0   | GET    | /@.*               | 0.012 | 0.204 | 19.365  | 0.124 | 0.153 | 0.186 | 0.201 | 0.024  | 1339.000  | 5515.000    | 500726.000    | 3209.782  |
| 144   | 0   | 0    | 72    | 72  | 0   | POST   | /                  | 0.003 | 0.237 | 17.684  | 0.123 | 0.162 | 0.173 | 0.207 | 0.030  | 190.000   | 211.000     | 28872.000     | 200.500   |
| 126   | 0   | 0    | 126   | 0   | 0   | GET    | /logout            | 0.001 | 0.218 | 14.250  | 0.113 | 0.143 | 0.149 | 0.193 | 0.024  | 189.000   | 189.000     | 23814.000     | 189.000   |
| 101   | 0   | 0    | 101   | 0   | 0   | POST   | /register          | 0.015 | 0.179 | 11.996  | 0.119 | 0.140 | 0.149 | 0.172 | 0.021  | 189.000   | 189.000     | 19089.000     | 189.000   |
| 101   | 0   | 0    | 101   | 0   | 0   | POST   | /comment           | 0.010 | 0.170 | 11.655  | 0.115 | 0.141 | 0.150 | 0.162 | 0.021  | 209.000   | 211.000     | 21115.000     | 209.059   |
| 101   | 0   | 0    | 0     | 101 | 0   | GET    | /admin/banned      | 0.002 | 0.181 | 10.637  | 0.105 | 0.125 | 0.144 | 0.172 | 0.022  | 185.000   | 185.000     | 18685.000     | 185.000   |
| 1     | 0   | 1    | 0     | 0   | 0   | GET    | /initialize        | 1.109 | 1.109 | 1.109   | 1.109 | 1.109 | 1.109 | 1.109 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 1908  | 0   | 1    | 1907  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 1.004     |
| 1908  | 0   | 1    | 1907  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.956     |
| 1908  | 0   | 1    | 1907  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.812     |
| 1908  | 0   | 1    | 1907  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.023     |
+-------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
