+--------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 4011   | 0   | 4011 | 0     | 0   | 0   | GET    | /                  | 0.004 | 0.094 | 183.122 | 0.046 | 0.059 | 0.063 | 0.074 | 0.010  | 2466.000  | 5852.000    | 11400322.000  | 2842.264  |
| 1890   | 0   | 1890 | 0     | 0   | 0   | GET    | /posts             | 0.004 | 0.094 | 92.036  | 0.049 | 0.061 | 0.066 | 0.075 | 0.010  | 4853.000  | 5664.000    | 9868773.000   | 5221.573  |
| 1695   | 0   | 0    | 1695  | 0   | 0   | POST   | /login             | 0.002 | 0.094 | 88.816  | 0.052 | 0.066 | 0.071 | 0.082 | 0.012  | 189.000   | 199.000     | 326375.000    | 192.552   |
| 1780   | 0   | 1780 | 0     | 0   | 0   | GET    | /posts/[0-9]+      | 0.002 | 0.087 | 77.104  | 0.043 | 0.056 | 0.062 | 0.072 | 0.011  | 436.000   | 1713.000    | 1766872.000   | 992.625   |
| 100337 | 0   | 2697 | 97640 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.097 | 46.433  | 0.000 | 0.000 | 0.000 | 0.021 | 0.005  | 0.000     | 1169225.000 | 425736799.000 | 4243.069  |
| 602    | 0   | 602  | 0     | 0   | 0   | GET    | /login             | 0.002 | 0.076 | 25.820  | 0.043 | 0.057 | 0.061 | 0.069 | 0.011  | 608.000   | 608.000     | 366016.000    | 608.000   |
| 310    | 0   | 0    | 155   | 155 | 0   | POST   | /                  | 0.006 | 0.166 | 20.818  | 0.067 | 0.124 | 0.136 | 0.154 | 0.034  | 190.000   | 211.000     | 62155.000     | 200.500   |
| 384    | 0   | 384  | 0     | 0   | 0   | GET    | /@.*               | 0.006 | 0.089 | 18.303  | 0.048 | 0.061 | 0.067 | 0.077 | 0.011  | 1578.000  | 5387.000    | 1246394.000   | 3245.818  |
| 238    | 0   | 0    | 238   | 0   | 0   | POST   | /register          | 0.015 | 0.093 | 14.128  | 0.059 | 0.074 | 0.078 | 0.085 | 0.011  | 189.000   | 189.000     | 44982.000     | 189.000   |
| 301    | 0   | 0    | 301   | 0   | 0   | GET    | /logout            | 0.001 | 0.071 | 12.461  | 0.041 | 0.053 | 0.057 | 0.063 | 0.009  | 189.000   | 189.000     | 56889.000     | 189.000   |
| 244    | 0   | 0    | 244   | 0   | 0   | POST   | /comment           | 0.005 | 0.079 | 11.283  | 0.046 | 0.063 | 0.066 | 0.076 | 0.013  | 209.000   | 211.000     | 51030.000     | 209.139   |
| 238    | 0   | 0    | 0     | 238 | 0   | GET    | /admin/banned      | 0.001 | 0.082 | 9.406   | 0.040 | 0.053 | 0.059 | 0.072 | 0.012  | 185.000   | 185.000     | 44030.000     | 185.000   |
| 1      | 0   | 1    | 0     | 0   | 0   | GET    | /initialize        | 0.233 | 0.233 | 0.233   | 0.233 | 0.233 | 0.233 | 0.233 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 4502   | 0   | 1    | 4501  | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.425     |
| 4502   | 0   | 1    | 4501  | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.405     |
| 4502   | 0   | 1    | 4501  | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.344     |
| 4502   | 0   | 1    | 4501  | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.010     |
+--------+-----+------+-------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
