+--------+-----+------+--------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| COUNT  | 1XX | 2XX  |  3XX   | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
| 4237   | 0   | 4237 | 0      | 0   | 0   | GET    | /                  | 0.004 | 0.084 | 187.136 | 0.044 | 0.055 | 0.059 | 0.068 | 0.009  | 2453.000  | 5855.000    | 12040725.000  | 2841.804  |
| 1980   | 0   | 1980 | 0      | 0   | 0   | GET    | /posts             | 0.005 | 0.083 | 92.361  | 0.047 | 0.058 | 0.061 | 0.069 | 0.009  | 4853.000  | 5630.000    | 10304777.000  | 5204.433  |
| 1802   | 0   | 0    | 1802   | 0   | 0   | POST   | /login             | 0.001 | 0.088 | 91.506  | 0.051 | 0.064 | 0.068 | 0.075 | 0.011  | 189.000   | 199.000     | 346918.000    | 192.518   |
| 1827   | 0   | 1827 | 0      | 0   | 0   | GET    | /posts/[0-9]+      | 0.001 | 0.069 | 75.736  | 0.041 | 0.053 | 0.058 | 0.064 | 0.009  | 434.000   | 1693.000    | 1806655.000   | 988.864   |
| 105312 | 0   | 2772 | 102540 | 0   | 0   | GET    | /image/[0-9]+      | 0.000 | 0.074 | 48.668  | 0.000 | 0.000 | 0.000 | 0.030 | 0.005  | 0.000     | 1251657.000 | 412375493.000 | 3915.750  |
| 634    | 0   | 634  | 0      | 0   | 0   | GET    | /login             | 0.003 | 0.069 | 25.024  | 0.039 | 0.049 | 0.054 | 0.061 | 0.009  | 608.000   | 608.000     | 385472.000    | 608.000   |
| 389    | 0   | 389  | 0      | 0   | 0   | GET    | /@.*               | 0.007 | 0.075 | 17.659  | 0.045 | 0.056 | 0.059 | 0.069 | 0.009  | 1570.000  | 5330.000    | 1255978.000   | 3228.735  |
| 348    | 0   | 0    | 174    | 174 | 0   | POST   | /                  | 0.006 | 0.077 | 16.501  | 0.047 | 0.059 | 0.063 | 0.073 | 0.011  | 190.000   | 211.000     | 69774.000     | 200.500   |
| 249    | 0   | 0    | 249    | 0   | 0   | POST   | /register          | 0.013 | 0.089 | 13.925  | 0.056 | 0.070 | 0.072 | 0.076 | 0.010  | 189.000   | 189.000     | 47061.000     | 189.000   |
| 317    | 0   | 0    | 317    | 0   | 0   | GET    | /logout            | 0.001 | 0.064 | 12.457  | 0.039 | 0.048 | 0.052 | 0.062 | 0.008  | 189.000   | 189.000     | 59913.000     | 189.000   |
| 254    | 0   | 0    | 254    | 0   | 0   | POST   | /comment           | 0.010 | 0.074 | 11.451  | 0.045 | 0.055 | 0.059 | 0.068 | 0.009  | 209.000   | 211.000     | 53130.000     | 209.173   |
| 249    | 0   | 0    | 0      | 249 | 0   | GET    | /admin/banned      | 0.001 | 0.062 | 9.235   | 0.037 | 0.048 | 0.054 | 0.061 | 0.010  | 185.000   | 185.000     | 46065.000     | 185.000   |
| 1      | 0   | 1    | 0      | 0   | 0   | GET    | /initialize        | 3.514 | 3.514 | 3.514   | 3.514 | 3.514 | 3.514 | 3.514 | 0.000  | 0.000     | 0.000       | 0.000         | 0.000     |
| 4671   | 0   | 1    | 4670   | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1915.000    | 1915.000      | 0.410     |
| 4671   | 0   | 1    | 4670   | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1824.000    | 1824.000      | 0.390     |
| 4671   | 0   | 1    | 4670   | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 1549.000    | 1549.000      | 0.332     |
| 4671   | 0   | 1    | 4670   | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.000 | 0.000   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000  | 0.000     | 43.000      | 43.000        | 0.009     |
+--------+-----+------+--------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+---------------+-----------+
